5000000~stock~4~cup
5000000~brown lentils~1~cup
5000000~French green lentils~1/2~cup
5000000~celery~2~stalk
5000000~carrot~1~
5000000~thyme~1~sprig
5000000~salt~1~teaspoon
5000000~tomato~1~
5000000~Fuji apple~1~
5000000~lemon juice~1~tablespoon
5000000~extra-virgin olive oil~2~teaspoon
5000000~whole-wheat lavash~3~
5000000~turkey breast~3/4~pound
5000000~Bibb lettuce~1/2~head
5000001~whipping cream~1 1/2~cup
5000001~onions~2~
5000001~salt~5~teaspoon
5000001~bay leaves~3~
5000001~cloves~3~
5000001~garlic clove~1~
5000001~pepper~1~teaspoon
5000001~shallots~8~
5000001~butter~1~tablespoon
5000001~fennel bulb~1~
5000001~onion~1~
5000001~unsalted butter~2~tablespoon
5000001~russet~2~
5000001~chicken broth~2~cup
5000001~milk~1 1/2~cup
5000002~olive oil~2~tablespoon
5000002~onion~1~cup
5000002~dry white wine~1~cup
5000002~anchovy paste~1~teaspoon
5000002~garlic~2~14 1/2-ounce
5000002~mahi-mahi fillets~4~6-ounce
5000002~olives~1/2~cup
5000002~oregano~3~teaspoon
5000002~orange peel~1~teaspoon
5000003~spinach soufflé~1~12-ounce
5000003~basil leaves~2 1/2~cup
5000003~mayonnaise~1~cup
5000003~butter~1/4~cup
5000003~thick-sliced bacon strips~12 1~
5000003~white bread~12 1/2-inch-thick~slice
5000003~tomatoes~3~
5000003~avocados~2~
5000003~red onion, thinly sliced~1~
5000003~lettuce leaves~6~
5000004~potatoes~1 1/2~pound
5000004~carrots~1 1/2~pound
5000004~asparagus~1 1/2~pound
5000004~sugar snap peas~6~ounce
5000004~low-fat~18~ounce
5000004~baby spinach~1~6-ounce
5000005~sugar~6~tablespoon
5000005~chili powder~1 1/2~tablespoon
5000005~egg~4~teaspoon
5000005~water~1/4~cup
5000005~kumquats~60~
5000006~soy sauce~1/4~cup
5000006~sugar~1~tablespoon
5000006~Asian sesame oil~2~teaspoon
5000006~scallions~1~bunch
5000006~garlic~1~tablespoon
5000006~ginger~1~tablespoon
5000006~sesame seeds~3~tablespoon
5000006~vegetable oil~1~tablespoon
5000007~parsley sprigs~6~long
5000007~chicken broth~1 3/4~cup
5000007~garlic clove~1~
5000007~unflavored gelatin~2 1~teaspoon
5000007~water~3~tablespoon
5000007~olive oil~4~teaspoon
5000007~shallots~1/2~cup
5000007~rosemary~2 1/2~teaspoon
5000007~yams~3~pound
5000007~chicken broth~1 1/4~cup
5000007~whipping cream~1/2~cup
5000008~flour~3~cup
5000008~baking soda~2~teaspoon
5000008~salt~2~teaspoon
5000008~sugar~1 1/2~cup
5000008~unsalted butter~1~cup
5000008~brown sugar~1/2~cup
5000008~eggs~3~
5000008~vanilla extract~1 1/2~teaspoon
5000008~bananas~2~cup
5000008~sour cream~1~cup
5000008~10-ounce bag mini chocolate chips~1~
5000008~butter~2~cup
5000008~sugar~1 1/2~cup
5000008~unsalted butter~1~cup
5000008~vanilla extract~2 1/2~teaspoon
5000009~6- beef tenderloin steaks~4~
5000009~olive oil~1~tablespoon
5000009~parsley~3~tablespoon
5000009~garlic~3~clove
5000009~brandy~2~tablespoon
5000010~peach~1~
5000010~sugar~2~tablespoon
5000010~apple cider vinegar~1~teaspoon
5000010~kosher salt~1/2~teaspoon
5000010~chives~1~tablespoon
